name;breite;niveau
Siedlungsnr;2;factor
Stelle;4;factor
Positionsnr;3;factor
Individualnr;3;factor
Formblattnr;2;factor
Rohmat1;2;factor
Rohmat2;2;factor
Rohmat_Farbe;2;factor
Oberfl_art_Spaltfl;1;factor
Strukturen_Material;1;factor
Rinde;1;factor
Nat_Fl;1;factor
Nat_Fl_Abroll;1;factor
Therm_Art;1;factor
Therm_Zeit;1;factor
Erhaltung_Rechteck;1;factor
Länge;3;integer
Breite;3;integer
Dicke;3;integer
Gewicht;5;numeric
Mod_Erhaltung;1;factor
Grundform;1;factor
KernNeg_Ab_Bulbus;2;integer
KernNeg_Ab;2;integer
KernNeg_Kl_Bulbus;2;integer
KernNeg_Kl;2;integer
Klopfspur_Lage;1;factor
Narben_Lage;1;factor
Narben_Orient;1;factor
Kern_Schlagfl;1;factor
Kern_SchlagflArt;1;factor
Kern_Abbaufl;1;factor
Kern_Abbauricht;1;factor
Kern_SchlagflLänge;3;factor
Kern_SchlagflBreite;3;factor
Mod_Art_1;2;factor
Mod_Art_2;2;factor
Mod_Art_3;2;factor
Mod_Art_4;2;factor
Mod_Art_5;2;factor
Mod_Art_6;2;factor
Mod_Reihe_1;1;factor
Mod_Reihe_2;1;factor
Mod_Reihe_3;1;factor
igerm1;2;factor
igerm2;2;factor
